"","xdist","tdist","lambda","slope_theta","t1","t2","t3","t4"
"94",8,5,0.8,1.33333333333333,0.0966570447482466,1.32498294999187,2.15820055272059,2.93514137584376
"95",8,6,0.5,0.577350269189626,0.110625371902199,0.954539276739153,1.50103437236296,1.9942094331857
"96",8,6,0.8,1.33333333333333,-0.0641253513328706,1.10376339922534,2.12058833304122,3.23423508564394
"97",9,1,0.5,0.577350269189626,-0.778833677682703,0.292540036387732,1.10177513151069,1.79529790673883
"98",9,1,0.8,1.33333333333333,-1.12414958366014,0.422245171893,1.59027542191032,2.59128932432809
"99",9,2,0.5,0.577350269189626,-0.785017740569305,0.295555022357772,1.10853839448985,1.7972509210559
"100",9,2,0.8,1.33333333333333,-1.20127352485195,0.460062001868655,1.66818647608256,2.59244792955632
"101",9,3,0.5,0.577350269189626,-0.769409763143486,0.288200560724938,1.08979027414146,1.78615216203724
"102",9,3,0.8,1.33333333333333,-1.05419530707875,0.393086014906943,1.50248517312653,2.5201674887615
"103",9,4,0.5,0.577350269189626,-0.794319418074902,0.257489372611159,1.10313299835631,1.85348184308921
"104",9,4,0.8,1.33333333333333,-1.18496377931789,0.0997649424617986,1.70430080371626,3.07113874521747
"105",9,5,0.5,0.577350269189626,-0.782421932601709,0.265898556747487,1.08394875423877,1.81608083879266
"106",9,5,0.8,1.33333333333333,-1.13233193256309,0.274480574309958,1.48032235120725,2.69065042338079
"107",9,6,0.5,0.577350269189626,-0.78096872510462,0.235711560103949,1.05805162481437,1.84069547662337
"108",9,6,0.8,1.33333333333333,-1.08591115652112,0.0908539678902446,1.27561787071947,2.87535928823344
